Name,Code,Region,State,Year,Month,Visit,Latitude,Longitude
Acadia NP,ACAD,Northeast ,ME,1991,10,224497,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1991,11,45518,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1991,12,13535,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,1,17510,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,2,21110,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,3,30312,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,4,63276,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,5,164400,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,6,262173,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,7,539109,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,8,615843,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,9,391798,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,10,211573,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,11,46316,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1992,12,18693,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,1,19402,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,2,15556,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,3,29040,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,4,57707,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,5,192823,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,6,300647,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,7,586449,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,8,719671,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,9,417317,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,10,254615,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,11,43755,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1993,12,19052,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,1,13364,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,2,18112,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,3,29086,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,4,58788,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,5,182781,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,6,311803,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,7,617622,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,8,720079,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,9,421106,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,10,268779,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,11,48907,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1994,12,20322,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,1,14894,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,2,20510,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,3,32120,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,4,86198,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,5,175550,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,6,355270,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,7,626947,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,8,753799,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,9,439553,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,10,271606,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,11,54121,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1995,12,14810,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,1,17655,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,2,15576,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,3,32452,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,4,76597,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,5,166290,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,6,327723,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,7,571017,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,8,714090,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,9,426562,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,10,280577,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,11,56828,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1996,12,19464,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,1,16292,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,2,17230,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,3,27035,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,4,77005,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,5,132194,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,6,340064,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,7,622847,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,8,758140,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,9,404808,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,10,287171,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,11,57810,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1997,12,19710,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,1,16726,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,2,17028,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,3,27500,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,4,81896,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,5,148052,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,6,307208,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,7,565477,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,8,701097,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,9,391378,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,10,266138,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,11,55225,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1998,12,16772,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,1,16430,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,2,17162,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,3,33688,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,4,82993,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,5,174610,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,6,315980,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,7,562996,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,8,639073,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,9,426024,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,10,277644,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,11,39416,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1999,12,16211,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2000,1,22500,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2000,2,23848,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2000,3,35423,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2000,4,78555,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2000,5,166456,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2000,6,319208,44.35,-68.21
